법인코드,법인명,업종,상장일자,주요품목
A001880,삼호,건설,19771222,"도로건설공사,토목공사,건축공사,조경공사/부동산 임대,매매"
A001940,KISCO홀딩스,철강,19891113,지주사업
A002000,한국유리,건축제품,19690627,"판유리,플로트유리,무늬유리,마블라이트 제조,도매"
A002020,코오롱,화학,19750623,"나일론,폴리에스터사,카페트,화섬사,필름,마그네틱카세트테이프,산업자재(자기재,타이어코드),화학제품,의료기기,액체여과기 제조,도매/오디오매체 출판/부동산"
A002030,아세아,포장재,19740603,"회사본부,지주회사 및 경영컨설팅 서비스업"
A002070,남영비비안,"섬유,의류,신발,호화품",19760713,"여성내의류(스타킹,화운데이숀,란제리),카바링사 제조,수출입/부동산 매매,임대"
A002100,경농,화학,19770630,"완제농약(잡초약,살충제,살균제) 제조"
A002140,고려산업,식품,19910114,"배합사료,플라스틱용기 제조/부동산 임대"
A002150,도화엔지니어링,건설,20100812,"토목설계,건축설계,종합감리전문업,종합기술용역,엔지니어링"
A002170,삼양통상,"섬유,의류,신발,호화품",19891110,"피혁원단,혁제운동화,혁제장갑,혁제스포츠용품 제조,상품중개,무역"
A002200,수출포장,포장재,19740628,"골판지상자,골판지원지 제조,판매"
A002210,동성제약,제약,19900119,"의약품,화장품 제조,도매"
A002220,한일철강,철강,19881007,"강관류,철판류,금속관류,건축자재,자동차부품 제조,도매"
A002230,피에스텍,전기제품,19960701,자동차부품
A002240,고려제강,철강,19760525,"PC강선,선재 2차제품,와이어로프,비드와이어,SC(Surpass Coat) Stand,각종선재 제조,도매"
A002250,알보젠코리아,제약,19731110,의약품(카리메트)
A002270,롯데푸드,식품,19730509,"빙과,유지,식품 제조"
A002290,삼일기업공사,건설,19960701,도급공사
A002300,한국제지,종이와목재,19710623,"인쇄용지,아트지,백상지 제조"
A002310,아세아제지,포장재,19881215,"골판지원지,석고보드원지,크라프트원지,라이나원지,라이너지 제조,판매"
A002320,한진,항공화물운송과물류,19740812,"포장화물,택배산업,항만하역,고속버스사업,운수보관"
A002350,넥센타이어,자동차부품,19760519,"타이어,후랩,고무제타이어(승용자동차용,래디알구조) 제조"
A002360,SH에너지화학,화학,19851223,"합성수지(PS/EPS,ABS수지) 제조"
A002380,KCC,건축자재,19730625,"건축용단열재,내외장재,스레트,밤라이트,암면,석고보드,판유리 제조"
A002390,한독,제약,19760630,"의약품(소화제,크라포란,라식스)제조,도매,부동산 임대"
A002410,범양건영,건설,19880525,"토목공사,주택건설,건축공사,난방공사,전기공사,포장공사"
A002420,세기상사,방송과엔터테인먼트,19681227,"극장(영화상영)/극영화,만화영화 제조/음식료품,일용잡화 소매/부동산 임대"
A002450,삼익악기,레저용장비와제품,19880930,"피아노,기타,현악기,전자악기,동 부분품 제조,임대,도매"
A002460,화성산업,건설,19880929,아파트 건설
A002550,KB손해보험,손해보험,19760705,손해보험
A002600,조흥,식품,19761223,"휘핑크림,인스턴트이스트,프루츠칵테일,크림치즈,견과류,건조과일 제조,판매/주택 신축,판매"
A002620,제일약품,제약,19880120,"의약품(타리비드,제일파프,노엘,푸라솔) 제조,도매"
A002630,오리엔트바이오,자동차부품,19761228,의약품 제조
A002680,한탑,식품,19960701,"소맥분(밀가루),배합사료"
A002690,동일제강,철강,20150924,"PC강연선, 경강선, 도금선, 마봉강"
A002700,신일산업,가정용기기와용품,19750930,"가정용 전기기구(선풍기,난로,세탁기),전자기구,연구기구 제조,수출입"
A002710,TCC동양,철강,19841221,"석도강판,표면처리강판 제조,판매"
A002720,국제약품,제약,19751227,"항생제,안약,제약 제조,도매"
A002760,보락,식품,19891130,"식품향료,식품첨가물,화학제품,껌베이스(자일리톨,에리스리톨),담배향료 제조,판매"
A002780,진흥기업,건설,19770625,"아파트건설,토목공사,건축공사,국내도급공사"
A002790,아모레G,화장품,19730430,지주회사
A002810,삼영무역,화학,19880328,"화공약품, 안경렌즈"
A002820,선창산업,종이와목재,19760522,"합판,가정용가구(선우드),MDF,제재목,하드보드 제조/부동산 임대"
A002840,미원상사,화학,19890925,"계면활성제,분황,황산,도료첨가제,프라스틱첨가제 제조"
A002870,신풍제지,포장재,19760630,"마닐라판지 제조,도소매"
A002880,대유에이텍,자동차부품,19770218,"자동차부품(자동차용 시트, 알루미늄 휠)제조"
A002900,동양물산,기계,19730626,"농기계,연초용필터,금속제양식기,철강압연 제조,도매,수출입/신문서적 수출입,판매"
A002920,유성기업,자동차부품,19881010,"철도차량부품(피스턴링,실린더라이너,발브가이드,타펫트),자동차부품,주강,주물 제조,판매"
A002960,한국쉘석유,석유와가스,19880810,"윤활유,그리스 제조,도매"
A002990,금호산업,건설,19760626,"종합건설/여객운송,관광/부동산 임대,분양"
A003000,부광약품,제약,19880805,"의약품,치약,의약부외품(파로돈탁스,레가론,부광안티프라그) 제조"
A003010,혜인,무역회사와판매업체,19880920,"건설기계,산업용 기계장비(진공흡인차,세정차),스테거크레인,비상용발전기,해상용엔진 도소매/창고"
A003030,세아제강,철강,19690513,"일반배관용강관,수도배관용강관,구조용강관,SPIRAL강관,유정용강관 제조"
A003060,슈넬생명과학,제약,19841019,"의약품(항생제,영양수액제,드링크제,철결핍성빈혈예방치료제,경옥동충하초) 제조,판매"
A003070,코오롱글로벌,건설,19780915,"토목공사,일반건설,주택건설,해외건설,소각로설비공사/환경플랜트,폐처리기 제조"
A003080,성보화학,화학,19761223,"완제농약(해비치과립,카스텔란),원제농약(슈퍼유나니,다이아톤) 제조,도매"
